Unnamed: 0	mapping1	mapping2	id	label	language	LLama3 zero-shot (Sem Equiv)	LLama3 zero-shot (Ex. Same Content)	LLama3 zero-shot (Paraph)	Zero_Shot_Majority_vote	Zero_Shot_Paraph_AND_Same_Content	Zero_Shot_Paraph_AND_Sem_Equiv	Zero_Shot_ALL_THREE
0	swap_42142_2	backtransl_set3_02388_2	1	0	en	1	1	1	1	1	1	1
1	backtransl_set1_06985_2	backtransl_set1_11833_2	2	1	en	1	1	1	1	1	1	1
2	backtransl_set1_10174_2	swap_13022_1	3	0	en	0	1	1	1	1	0	0
3	swap_25254_2	backtransl_set3_00804_2	4	1	en	1	1	1	1	1	1	1
4	swap_49138_1	backtransl_set2_00346_2	5	1	en	1	1	1	1	1	1	1
5	backtransl_set1_14671_2	swap_33732_1	6	1	en	1	1	1	1	1	1	1
6	backtransl_set1_08975_2	swap_42510_1	7	0	en	1	0	1	1	0	1	0
7	backtransl_set1_15637_2	swap_12816_1	8	1	en	1	1	1	1	1	1	1
8	backtransl_set2_01325_2	backtransl_set2_01846_2	9	0	en	0	0	0	0	0	0	0
9	swap_02251_1	backtransl_set1_00261_2	10	0	en	0	0	1	0	0	0	0
10	backtransl_set1_13242_2	swap_35905_2	11	0	en	1	1	1	1	1	1	1
11	swap_45291_2	backtransl_set1_05496_2	12	1	en	1	1	1	1	1	1	1
12	swap_09100_2	backtransl_set2_01233_2	13	1	en	1	1	1	1	1	1	1
13	backtransl_set3_04245_2	swap_03127_1	14	0	en	1	0	1	1	0	1	0
14	backtransl_set1_10459_2	backtransl_set1_11808_2	15	0	en	1	1	1	1	1	1	1
15	swap_10064_2	backtransl_set1_15002_2	16	1	en	1	1	1	1	1	1	1
16	backtransl_set1_02555_2	swap_36515_1	17	0	en	1	0	1	1	0	1	0
17	backtransl_set2_00443_2	swap_49311_1	18	1	en	1	1	1	1	1	1	1
18	swap_13462_2	backtransl_set3_01321_2	19	0	en	1	0	1	1	0	1	0
19	swap_40316_1	backtransl_set2_00019_2	20	1	en	1	1	1	1	1	1	1
20	backtransl_set2_00576_2	swap_12543_2	21	0	en	0	0	1	0	0	0	0
21	swap_45977_1	backtransl_set2_00233_2	22	0	en	1	1	1	1	1	1	1
22	backtransl_set1_07853_2	swap_28223_1	23	1	en	0	1	1	1	1	0	0
23	swap_39480_1	backtransl_set1_04835_2	24	0	en	0	1	1	1	1	0	0
24	swap_07668_2	backtransl_set1_05600_2	25	1	en	1	1	1	1	1	1	1
25	swap_32157_2	backtransl_set2_02537_2	26	0	en	0	0	0	0	0	0	0
26	backtransl_set1_03274_2	swap_26756_1	27	1	en	1	1	1	1	1	1	1
27	backtransl_set1_10296_2	backtransl_set1_14627_2	28	1	en	1	1	1	1	1	1	1
28	backtransl_set2_02075_2	swap_07083_1	29	1	en	1	1	1	1	1	1	1
29	backtransl_set3_02698_2	swap_26022_2	30	1	en	1	1	1	1	1	1	1
30	backtransl_set1_08968_2	swap_37713_2	31	1	en	1	0	1	1	0	1	0
31	backtransl_set1_08255_2	swap_09908_1	32	1	en	1	1	1	1	1	1	1
32	backtransl_set1_06579_2	swap_41326_2	33	0	en	1	1	1	1	1	1	1
33	swap_42488_1	backtransl_set2_04966_2	34	1	en	1	1	1	1	1	1	1
34	swap_09115_2	backtransl_set3_01488_2	35	0	en	0	0	1	0	0	0	0
35	swap_36373_2	backtransl_set1_12197_2	36	0	en	0	0	1	0	0	0	0
36	backtransl_set2_00583_2	swap_23572_1	37	1	en	1	1	1	1	1	1	1
37	swap_22559_2	backtransl_set3_01374_2	38	1	en	1	1	1	1	1	1	1
38	backtransl_set1_10474_2	swap_45939_2	39	0	en	0	0	1	0	0	0	0
39	swap_25631_1	backtransl_set1_05473_2	40	1	en	1	1	1	1	1	1	1
40	backtransl_set1_12808_2	swap_47328_2	41	0	en	0	0	0	0	0	0	0
41	swap_34650_1	backtransl_set1_06344_2	42	0	en	0	0	0	0	0	0	0
42	swap_38610_1	backtransl_set3_00033_2	43	1	en	1	0	1	1	0	1	0
43	backtransl_set1_10433_2	swap_37958_1	44	1	en	1	1	1	1	1	1	1
44	backtransl_set1_00546_2	swap_28201_2	45	1	en	1	1	1	1	1	1	1
45	backtransl_set1_02675_2	swap_09487_1	46	0	en	0	0	0	0	0	0	0
46	swap_35167_2	backtransl_set1_10181_2	47	1	en	1	1	1	1	1	1	1
47	swap_09518_1	backtransl_set1_09551_2	48	1	en	0	0	0	0	0	0	0
48	swap_20121_1	backtransl_set2_00143_2	49	0	en	0	0	0	0	0	0	0
49	backtransl_set1_04250_2	swap_48741_2	50	0	en	0	0	1	0	0	0	0
50	backtransl_set1_13226_2	swap_42084_1	51	1	en	0	1	1	1	1	0	0
51	backtransl_set1_07395_2	backtransl_set1_05777_2	52	0	en	1	1	1	1	1	1	1
52	swap_19324_2	backtransl_set2_03581_2	53	1	en	1	0	1	1	0	1	0
53	swap_43896_1	backtransl_set1_03618_2	54	1	en	1	1	1	1	1	1	1
54	backtransl_set3_04605_2	swap_21157_1	55	0	en	0	0	0	0	0	0	0
55	backtransl_set1_06353_2	swap_09721_2	56	1	en	1	1	1	1	1	1	1
56	backtransl_set2_03346_2	swap_00465_1	57	0	en	1	1	1	1	1	1	1
57	swap_05720_2	backtransl_set1_00438_2	58	0	en	0	0	1	0	0	0	0
58	backtransl_set1_04806_2	backtransl_set1_02845_2	59	0	en	1	1	1	1	1	1	1
