id	data set	lang	sentence1	sentence2	score	LLama3 zero-shot (Paraph)	LLama3 ICL_4 (Paraph)	LLama3-FT-EN	LLama3-FT-ALL	CLEAN-XLM-RoBERTa-EN	XLM-RoBERTa-EN-ALLTHREE-V2-3	XLM-RoBERTa-EN-ALLTHREE-V2-2	XLM-RoBERTa-EN-ALLTHREE-V2-1	XLM-RoBERTa-EN-ALLTHREE-V3-1	XLM-RoBERTa-EN-ALLTHREE-V3-2	XLM-RoBERTa-EN-ALLTHREE-V3-3	LLama3 zero-shot (Ex. Same Content)	LLama3 zero-shot (Sem Equiv)	XLM-RoBERTa-EN-ALLTHREE-V4-1	XLM-RoBERTa-EN-ALLTHREE-V4-2	XLM-RoBERTa-EN-ALLTHREE-V4-3	XLM-RoBERTa-EN-ORIG-V2-1	XLM-RoBERTa-EN-ORIG-V2-2	XLM-RoBERTa-EN-ORIG-V2-3	XLM-RoBERTa-EN-ORIG-V3-1	XLM-RoBERTa-EN-ORIG-V3-2	XLM-RoBERTa-EN-ORIG-V3-3	XLM-RoBERTa-EN-ORIG-V4-2	XLM-RoBERTa-EN-ORIG-V4-3	XLM-RoBERTa-EN-PARAPH-V2-1	XLM-RoBERTa-EN-PARAPH-V2-2	XLM-RoBERTa-EN-PARAPH-V2-3	XLM-RoBERTa-EN-PARAPH-V3-1	XLM-RoBERTa-EN-PARAPH-V3-2	XLM-RoBERTa-EN-PARAPH-V3-3	XLM-RoBERTa-EN-PARAPH-V4-1	XLM-RoBERTa-EN-PARAPH-V4-2	XLM-RoBERTa-EN-PARAPH-V4-3	XLM-RoBERTa-EN-SAMECONTENT-V2-2	XLM-RoBERTa-EN-SAMECONTENT-V2-3	XLM-RoBERTa-EN-SAMECONTENT-V3-1	XLM-RoBERTa-EN-SAMECONTENT-V3-2	XLM-RoBERTa-EN-SAMECONTENT-V3-3	XLM-RoBERTa-EN-SAMECONTENT-V4-1	XLM-RoBERTa-EN-SAMECONTENT-V4-2	XLM-RoBERTa-EN-SAMECONTENT-V4-3	XLM-RoBERTa-EN-EASYNEG-25-V2-1	XLM-RoBERTa-EN-EASYNEG-25-V2-2	XLM-RoBERTa-EN-EASYNEG-25-V2-3	XLM-RoBERTa-EN-EASYNEG-25-V3-1	XLM-RoBERTa-EN-EASYNEG-25-V3-2	XLM-RoBERTa-EN-EASYNEG-25-V3-3	XLM-RoBERTa-EN-EASYNEG-25-V4-1	XLM-RoBERTa-EN-EASYNEG-25-V4-2	XLM-RoBERTa-EN-EASYNEG-25-V4-3	XLM-RoBERTa-EN-EASYNEG-50-V2-1	XLM-RoBERTa-EN-EASYNEG-50-V2-2	XLM-RoBERTa-EN-EASYNEG-50-V2-3	XLM-RoBERTa-EN-EASYNEG-50-V3-1	XLM-RoBERTa-EN-EASYNEG-50-V3-2	XLM-RoBERTa-EN-EASYNEG-50-V3-3	XLM-RoBERTa-EN-EASYNEG-50-V4-1	XLM-RoBERTa-EN-EASYNEG-50-V4-2	XLM-RoBERTa-EN-EASYNEG-50-V4-3	XLM-RoBERTa-EN-EASYNEG-75-V2-1	XLM-RoBERTa-EN-EASYNEG-75-V2-2	XLM-RoBERTa-EN-EASYNEG-75-V2-3	XLM-RoBERTa-EN-EASYNEG-75-V3-1	XLM-RoBERTa-EN-EASYNEG-75-V3-2	XLM-RoBERTa-EN-EASYNEG-75-V3-3	XLM-RoBERTa-EN-EASYNEG-75-V4-1	XLM-RoBERTa-EN-EASYNEG-75-V4-2	XLM-RoBERTa-EN-EASYNEG-75-V4-3	XLM-RoBERTa-EN-SEMEQUIV-V2-1	XLM-RoBERTa-EN-SEMEQUIV-V2-2	XLM-RoBERTa-EN-SEMEQUIV-V2-3	XLM-RoBERTa-EN-SEMEQUIV-V3-1	XLM-RoBERTa-EN-SEMEQUIV-V3-2	XLM-RoBERTa-EN-SEMEQUIV-V3-3	XLM-RoBERTa-EN-SEMEQUIV-V4-1	XLM-RoBERTa-EN-SEMEQUIV-V4-2	XLM-RoBERTa-EN-SEMEQUIV-V4-3	LLama3 ICL_4 (Ex. Same Content)	LLama3 ICL_4 (Sem Equiv)
stanfordnlp/snli-0	stanfordnlp/snli	en	This church choir sings to the masses as they sing joyous songs from the book at a church.	The church has cracks in the ceiling.	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0
stanfordnlp/snli-2	stanfordnlp/snli	en	This church choir sings to the masses as they sing joyous songs from the book at a church.	A choir singing at a baseball game.	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0
stanfordnlp/snli-3	stanfordnlp/snli	en	A woman with a green headscarf, blue shirt and a very big grin.	The woman is young.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0
stanfordnlp/snli-5-hard	stanfordnlp/snli	en	A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shot.	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0
stanfordnlp/snli-7	stanfordnlp/snli	en	An old man with a package poses in front of an advertisement.	A man poses in front of an ad for beer.	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0
stanfordnlp/snli-8-hard	stanfordnlp/snli	en	An old man with a package poses in front of an advertisement.	A man walks by an ad.	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0
stanfordnlp/snli-9	stanfordnlp/snli	en	A statue at a museum that no seems to be looking at.	The statue is offensive and people are mad that it is on display.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0
stanfordnlp/snli-11-hard	stanfordnlp/snli	en	A statue at a museum that no seems to be looking at.	Tons of people are gathered around the statue.	-1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	0
stanfordnlp/snli-14	stanfordnlp/snli	en	A land rover is being driven across a river.	A sedan is stuck in the middle of a river.	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0
stanfordnlp/snli-15	stanfordnlp/snli	en	A man playing an electric guitar on stage.	A man playing banjo on the floor.	-1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
stanfordnlp/snli-17	stanfordnlp/snli	en	A man playing an electric guitar on stage.	A man is performing for cash.	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
stanfordnlp/snli-19	stanfordnlp/snli	en	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A man is eating pb and j	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0
stanfordnlp/snli-20-hard	stanfordnlp/snli	en	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0
stanfordnlp/snli-21	stanfordnlp/snli	en	One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.	A boy runs into a wall	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0
stanfordnlp/snli-23	stanfordnlp/snli	en	One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.	A man watches his daughter leap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
stanfordnlp/snli-24	stanfordnlp/snli	en	A young family enjoys feeling ocean waves lap at their feet.	A young man and woman take their child to the beach for the first time.	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0
stanfordnlp/snli-25-hard	stanfordnlp/snli	en	A young family enjoys feeling ocean waves lap at their feet.	A family is out at a restaurant.	-1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	0
stanfordnlp/snli-28	stanfordnlp/snli	en	A couple walk hand in hand down a street.	The couple is married.	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
stanfordnlp/snli-29	stanfordnlp/snli	en	A couple walk hand in hand down a street.	A couple is sitting on a bench.	-1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
stanfordnlp/snli-30-hard	stanfordnlp/snli	en	3 young man in hoods standing in the middle of a quiet street facing the camera.	Three people sit by a busy street bareheaded.	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0
stanfordnlp/snli-34	stanfordnlp/snli	en	A man reads the paper in a bar with green lighting.	The man is reading the sportspage.	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0
stanfordnlp/snli-35	stanfordnlp/snli	en	A man reads the paper in a bar with green lighting.	The man is climbing a mountain.	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0
stanfordnlp/snli-36-hard	stanfordnlp/snli	en	Three firefighter come out of subway station.	Three firefighters putting out a fire inside of a subway station.	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
stanfordnlp/snli-38	stanfordnlp/snli	en	Three firefighter come out of subway station.	Three firefighters playing cards inside a fire station.	-1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
stanfordnlp/snli-40-hard	stanfordnlp/snli	en	A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.	A person is selling coconuts.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
stanfordnlp/snli-41	stanfordnlp/snli	en	A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.	A person is burning a straw hat.	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0
stanfordnlp/snli-42	stanfordnlp/snli	en	Male in a blue jacket decides to lay in the grass.	The guy in yellow is rolling on the grass	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
stanfordnlp/snli-44-hard	stanfordnlp/snli	en	Male in a blue jacket decides to lay in the grass.	The guy wearing a blue jacket is laying on the green grass taking a nap.	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
stanfordnlp/snli-45	stanfordnlp/snli	en	During calf roping a cowboy calls off his horse.	A first time roper falls off his horse.	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
stanfordnlp/snli-46	stanfordnlp/snli	en	During calf roping a cowboy calls off his horse.	Cowboy falling off horse.	-1	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
stanfordnlp/snli-47-hard	stanfordnlp/snli	en	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	-1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0
stanfordnlp/snli-49	stanfordnlp/snli	en	A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.	The boy is playing on the swings after school.	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0
stanfordnlp/snli-50-hard	stanfordnlp/snli	en	A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.	The boy is sitting on the school bus on his way home.	-1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0
stanfordnlp/snli-51	stanfordnlp/snli	en	A woman wearing a ball cap squats down to touch the cracked earth.	An archeologist wearing a hat squats to examine the site for a dig	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
stanfordnlp/snli-53	stanfordnlp/snli	en	A woman wearing a ball cap squats down to touch the cracked earth.	A woman wearing a sun bonnet planting a garden.	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
stanfordnlp/snli-54	stanfordnlp/snli	en	Two children re laying on a rug with some wooden bricks laid out in a square between them.	Two children are building a brick furnace.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0
stanfordnlp/snli-55-hard	stanfordnlp/snli	en	Two children re laying on a rug with some wooden bricks laid out in a square between them.	Two children are playing catch at a park.	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0
stanfordnlp/snli-58	stanfordnlp/snli	en	A man standing in front of a building on the phone as two men to the side pain on the side.	two girls walk through a hall	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0
