	split	genre	dataset	year	sid	score	sentence1	sentence2	LLama3 zero-shot (Ex. Same Content)	LLama3 zero-shot (Sem Equiv)	LLama3 zero-shot (Paraph)	Zero_Shot_ALL_THREE	Zero_Shot_Majority_vote
0	train	main-captions	MSRvid	2012test	1	5.0	A plane is taking off.	An air plane is taking off.	1	1	1	1	1
1	train	main-captions	MSRvid	2012test	4	3.8	A man is playing a large flute.	A man is playing a flute.	1	1	1	1	1
2	train	main-captions	MSRvid	2012test	5	3.8	A man is spreading shreded cheese on a pizza.	A man is spreading shredded cheese on an uncooked pizza.	0	1	0	0	0
3	train	main-captions	MSRvid	2012test	6	2.6	Three men are playing chess.	Two men are playing chess.	0	0	0	0	0
4	train	main-captions	MSRvid	2012test	9	4.25	A man is playing the cello.	A man seated is playing the cello.	0	1	1	0	1
5	train	main-captions	MSRvid	2012test	11	4.25	Some men are fighting.	Two men are fighting.	0	0	0	0	0
6	train	main-captions	MSRvid	2012test	12	0.5	A man is smoking.	A man is skating.	0	0	0	0	0
7	train	main-captions	MSRvid	2012test	13	1.6	The man is playing the piano.	The man is playing the guitar.	0	0	0	0	0
8	train	main-captions	MSRvid	2012test	14	2.2	A man is playing on a guitar and singing.	A woman is playing an acoustic guitar and singing.	0	0	0	0	0
9	train	main-captions	MSRvid	2012test	16	5.0	A person is throwing a cat on to the ceiling.	A person throws a cat on the ceiling.	1	1	1	1	1
10	train	main-captions	MSRvid	2012test	17	4.2	The man hit the other man with a stick.	The man spanked the other man with a stick.	1	0	1	0	1
11	train	main-captions	MSRvid	2012test	18	4.6	A woman picks up and holds a baby kangaroo.	A woman picks up and holds a baby kangaroo in her arms.	1	1	1	1	1
12	train	main-captions	MSRvid	2012test	19	3.867	A man is playing a flute.	A man is playing a bamboo flute.	1	1	1	1	1
13	train	main-captions	MSRvid	2012test	20	4.667	A person is folding a piece of paper.	Someone is folding a piece of paper.	1	1	1	1	1
14	train	main-captions	MSRvid	2012test	21	1.667	A man is running on the road.	A panda dog is running on the road.	0	0	0	0	0
15	train	main-captions	MSRvid	2012test	22	3.75	A dog is trying to get bacon off his back.	A dog is trying to eat the bacon on its back.	0	0	1	0	0
16	train	main-captions	MSRvid	2012test	25	5.0	The polar bear is sliding on the snow.	A polar bear is sliding across the snow.	1	1	1	1	1
17	train	main-captions	MSRvid	2012test	26	0.5	A woman is writing.	A woman is swimming.	0	0	0	0	0
18	train	main-captions	MSRvid	2012test	28	3.8	A cat is rubbing against baby's face.	A cat is rubbing against a baby.	0	0	1	0	0
19	train	main-captions	MSRvid	2012test	29	5.0	The man is riding a horse.	A man is riding on a horse.	1	1	1	1	1
20	train	main-captions	MSRvid	2012test	30	3.2	A man pours oil into a pot.	A man pours wine in a pot.	0	0	0	0	0
21	train	main-captions	MSRvid	2012test	31	2.8	A man is playing a guitar.	A girl is playing a guitar.	0	0	0	0	0
22	train	main-captions	MSRvid	2012test	32	4.6	A panda is sliding down a slide.	A panda slides down a slide.	1	1	1	1	1
23	train	main-captions	MSRvid	2012test	34	3.0	A woman is eating something.	A woman is eating meat.	0	0	0	0	0
24	train	main-captions	MSRvid	2012test	35	5.0	A woman peels a potato.	A woman is peeling a potato.	1	1	1	1	1
25	train	main-captions	MSRvid	2012test	38	4.8	The boy fell off his bike.	A boy falls off his bike.	1	1	1	1	1
26	train	main-captions	MSRvid	2012test	40	5.0	The woman is playing the flute.	A woman is playing a flute.	1	0	1	0	1
27	train	main-captions	MSRvid	2012test	42	4.2	A rabbit is running from an eagle.	A hare is running from a eagle.	0	1	0	0	0
28	train	main-captions	MSRvid	2012test	44	4.2	The woman is frying a breaded pork chop.	A woman is cooking a breaded pork chop.	1	1	1	1	1
29	train	main-captions	MSRvid	2012test	46	4.0	A girl is flying a kite.	A girl running is flying a kite.	0	0	0	0	0
30	train	main-captions	MSRvid	2012test	47	4.0	A man is riding a mechanical bull.	A man rode a mechanical bull.	0	0	1	0	0
31	train	main-captions	MSRvid	2012test	48	4.909	The man is playing the guitar.	A man is playing a guitar.	0	1	1	0	1
32	train	main-captions	MSRvid	2012test	50	3.0	A woman is dancing and singing with other women.	A woman is dancing and singing in the rain.	0	0	0	0	0
33	train	main-captions	MSRvid	2012test	52	2.4	A man is slicing a bun.	A man is slicing an onion.	0	0	0	0	0
34	train	main-captions	MSRvid	2012test	53	4.2	A man is pouring oil into a pan.	A man is pouring oil into a skillet.	1	1	1	1	1
35	train	main-captions	MSRvid	2012test	54	3.4	A lion is playing with people.	A lion is playing with two men.	0	0	0	0	0
36	train	main-captions	MSRvid	2012test	55	5.0	A dog rides a skateboard.	A dog is riding a skateboard.	1	0	1	0	1
37	train	main-captions	MSRvid	2012test	56	3.75	Someone is carving a statue.	A man is carving a statue.	0	1	0	0	0
38	train	main-captions	MSRvid	2012test	57	2.75	A woman is slicing an onion.	A man is cutting an onion.	0	0	0	0	0
39	train	main-captions	MSRvid	2012test	58	5.0	A woman peels shrimp.	A woman is peeling shrimp.	1	1	1	1	1
40	train	main-captions	MSRvid	2012test	59	4.0	A woman is frying fish.	A woman is cooking fish.	1	1	1	1	1
41	train	main-captions	MSRvid	2012test	61	3.6	A woman is playing an electric guitar.	A woman is playing a guitar.	1	1	1	1	1
42	train	main-captions	MSRvid	2012test	62	1.6	A baby tiger is playing with a ball.	A baby is playing with a doll.	0	0	0	0	0
43	train	main-captions	MSRvid	2012test	64	1.75	A person is slicing a tomato.	A person is slicing some meat.	0	0	0	0	0
44	train	main-captions	MSRvid	2012test	65	5.0	A person cuts an onion.	A person is cutting an onion.	1	1	1	1	1
45	train	main-captions	MSRvid	2012test	68	1.0	A man is playing the piano.	A woman is playing the violin.	0	0	0	0	0
46	train	main-captions	MSRvid	2012test	69	1.0	A woman is playing the flute.	A man is playing the guitar.	0	0	0	0	0
47	train	main-captions	MSRvid	2012test	70	2.375	A man is cutting up a potato.	A man is cutting up carrots.	0	0	0	0	0
48	train	main-captions	MSRvid	2012test	71	3.8	A kid is playing guitar.	A boy is playing a guitar.	1	1	1	1	1
49	train	main-captions	MSRvid	2012test	72	3.2	A boy is playing guitar.	A man is playing a guitar.	0	0	0	0	0
50	train	main-captions	MSRvid	2012test	73	3.2	A man is playing guitar.	A boy is playing a guitar.	0	0	0	0	0
51	train	main-captions	MSRvid	2012test	75	4.4	A little boy is playing a keyboard.	A boy is playing key board.	0	0	1	0	0
52	train	main-captions	MSRvid	2012test	77	3.75	A man is playing a guitar.	A man is playing an electric guitar.	0	1	1	0	1
53	train	main-captions	MSRvid	2012test	78	4.75	A dog licks a baby.	A dog is licking a baby.	1	1	1	1	1
54	train	main-captions	MSRvid	2012test	80	3.2	A woman is slicing an onion.	A man is cutting and onion.	0	0	0	0	0
55	train	main-captions	MSRvid	2012test	81	1.556	A man is playing the guitar.	A man is playing the drums.	0	0	0	0	0
56	train	main-captions	MSRvid	2012test	83	3.938	A woman is slicing a pepper.	A woman is cutting a red pepper.	1	1	1	1	1
57	train	main-captions	MSRvid	2012test	84	5.0	A man is playing the drums.	A man plays the drum.	0	0	1	0	0
58	train	main-captions	MSRvid	2012test	85	5.0	A woman rides a horse.	A woman is riding a horse.	1	1	1	1	1
59	train	main-captions	MSRvid	2012test	86	4.0	A man is eating a banana by a tree.	A man is eating a banana.	0	0	1	0	0
60	train	main-captions	MSRvid	2012test	87	1.6	A cat is playing a key board.	A man is playing two keyboards.	0	0	0	0	0
61	train	main-captions	MSRvid	2012test	89	4.75	A man chops down a tree with an axe.	A man cut a tree with an axe.	1	0	1	0	1
62	train	main-captions	MSRvid	2012test	90	3.5	A kid plays with a toy phone.	A little boy plays with a toy phone.	1	1	1	1	1
63	train	main-captions	MSRvid	2012test	93	1.4	A man is riding a motorcycle.	A man is riding a horse.	0	0	0	0	0
64	train	main-captions	MSRvid	2012test	94	1.4	A man is riding a motorcycle.	A man is riding a horse.	0	0	0	0	0
65	train	main-captions	MSRvid	2012test	99	4.0	A squirrel is spinning around in circles.	A squirrel runs around in circles.	0	0	1	0	0
66	train	main-captions	MSRvid	2012test	101	5.0	A man and a woman are kissing.	A man and woman kiss.	1	1	1	1	1
67	train	main-captions	MSRvid	2012test	102	3.833	A man is getting into a car.	A man is getting into a car in a garage.	0	0	0	0	0
68	train	main-captions	MSRvid	2012test	104	0.6	A man is dancing.	A man is talking.	0	0	0	0	0
69	train	main-captions	MSRvid	2012test	105	2.917	A man is playing the guitar and singing.	A man is playing the guitar.	0	0	0	0	0
70	train	main-captions	MSRvid	2012test	106	4.2	A person is cutting mushrooms.	A person is cutting mushrooms with a knife.	1	1	1	1	1
71	train	main-captions	MSRvid	2012test	108	2.0	A tiger cub is making a sound.	A tiger is walking around.	0	0	0	0	0
72	train	main-captions	MSRvid	2012test	109	2.6	A person is slicing onions.	A person is peeling an onion.	0	0	0	0	0
73	train	main-captions	MSRvid	2012test	110	1.6	A man is playing the piano.	A man is playing the trumpet.	0	0	0	0	0
74	train	main-captions	MSRvid	2012test	111	2.0	A woman is peeling a potato.	A woman is peeling an apple.	0	0	0	0	0
75	train	main-captions	MSRvid	2012test	112	4.2	A pankda is eating bamboo.	A panda bear is eating some bamboo.	1	1	1	1	1
76	train	main-captions	MSRvid	2012test	113	2.0	A person is peeling an onion.	A person is peeling an eggplant.	0	0	0	0	0
77	train	main-captions	MSRvid	2012test	114	4.8	A monkey pushes another monkey.	The monkey pushed the other monkey.	1	1	1	1	1
78	train	main-captions	MSRvid	2012test	115	4.4	A squirrel runs around in circles.	A squirrel is moving in circles.	1	0	1	0	1
